  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  0.0000e+000           40.51797685            0.00000000        1208.32743113           -0.00121561         1208.32621552 
  2.0000e-015           40.51797685            0.00000000        1208.32743113           -0.00121562         1208.32621552 
  4.0000e-015           40.51797685            0.00000000        1208.32743114           -0.00121563         1208.32621551 
  6.0000e-015           40.51797685            0.00000000        1208.32743114           -0.00121564         1208.32621551 
  8.0000e-015           40.51797685            0.00000000        1208.32743115           -0.00121565         1208.32621550 
  1.0000e-014           40.51797685            0.00000000        1208.32743116           -0.00121567         1208.32621549 
  1.2000e-014           40.51797685            0.00000000        1208.32743117           -0.00121568         1208.32621548 
  1.4000e-014           40.51797685            0.00000000        1208.32743118           -0.00121570         1208.32621547 
  1.6000e-014           40.51797685            0.00000000        1208.32743119           -0.00121572         1208.32621546 
  1.8000e-014           40.51797685            0.00000000        1208.32743120           -0.00121574         1208.32621545 
  2.0000e-014           40.51797685            0.00000000        1208.32743121           -0.00121577         1208.32621544 
  2.2000e-014           40.51797686            0.00000000        1208.32743122           -0.00121579         1208.32621543 
  2.4000e-014           40.51797686            0.00000000        1208.32743124           -0.00121582         1208.32621542 
  2.6000e-014           40.51797686            0.00000000        1208.32743125           -0.00121585         1208.32621540 
  2.8000e-014           40.51797686            0.00000000        1208.32743126           -0.00121588         1208.32621539 
  3.0000e-014           40.51797686            0.00000000        1208.32743128           -0.00121591         1208.32621537 
  3.2000e-014           40.51797686            0.00000000        1208.32743130           -0.00121594         1208.32621535 
  3.4000e-014           40.51797686            0.00000000        1208.32743131           -0.00121598         1208.32621534 
  3.6000e-014           40.51797686            0.00000000        1208.32743133           -0.00121601         1208.32621532 
  3.8000e-014           40.51797686            0.00000000        1208.32743135           -0.00121605         1208.32621530 
  4.0000e-014           40.51797686            0.00000000        1208.32743137           -0.00121609         1208.32621528 
  4.2000e-014           40.51797686            0.00000000        1208.32743139           -0.00121613         1208.32621526 
  4.4000e-014           40.51797686            0.00000000        1208.32743141           -0.00121617         1208.32621524 
  4.6000e-014           40.51797686            0.00000000        1208.32743143           -0.00121622         1208.32621522 
  4.8000e-014           40.51797686            0.00000000        1208.32743146           -0.00121626         1208.32621519 
  5.0000e-014           40.51797686            0.00000000        1208.32743148           -0.00121631         1208.32621517 
  5.2000e-014           40.51797686            0.00000000        1208.32743150           -0.00121636         1208.32621515 
  5.4000e-014           40.51797687            0.00000000        1208.32743153           -0.00121641         1208.32621512 
  5.6000e-014           40.51797687            0.00000000        1208.32743156           -0.00121646         1208.32621509 
  5.8000e-014           40.51797687            0.00000000        1208.32743158           -0.00121652         1208.32621507 
  6.0000e-014           40.51797687            0.00000000        1208.32743161           -0.00121657         1208.32621504 
  6.2000e-014           40.51797687            0.00000000        1208.32743164           -0.00121663         1208.32621501 
  6.4000e-014           40.51797687            0.00000000        1208.32743167           -0.00121669         1208.32621498 
  6.6000e-014           40.51797687            0.00000000        1208.32743170           -0.00121675         1208.32621495 
  6.8000e-014           40.51797687            0.00000000        1208.32743173           -0.00121681         1208.32621492 
  7.0000e-014           40.51797687            0.00000000        1208.32743176           -0.00121687         1208.32621489 
  7.2000e-014           40.51797687            0.00000000        1208.32743179           -0.00121694         1208.32621486 
  7.4000e-014           40.51797688            0.00000000        1208.32743183           -0.00121700         1208.32621482 
  7.6000e-014           40.51797688            0.00000000        1208.32743186           -0.00121707         1208.32621479 
  7.8000e-014           40.51797688            0.00000000        1208.32743190           -0.00121714         1208.32621475 
  8.0000e-014           40.51797688            0.00000000        1208.32743193           -0.00121721         1208.32621472 
  8.2000e-014           40.51797688            0.00000000        1208.32743197           -0.00121729         1208.32621468 
  8.4000e-014           40.51797688            0.00000000        1208.32743201           -0.00121736         1208.32621464 
  8.6000e-014           40.51797688            0.00000000        1208.32743205           -0.00121744         1208.32621461 
  8.8000e-014           40.51797688            0.00000000        1208.32743208           -0.00121752         1208.32621457 
  9.0000e-014           40.51797689            0.00000000        1208.32743212           -0.00121760         1208.32621453 
  9.2000e-014           40.51797689            0.00000000        1208.32743216           -0.00121768         1208.32621449 
  9.4000e-014           40.51797689            0.00000000        1208.32743221           -0.00121776         1208.32621444 
  9.6000e-014           40.51797689            0.00000000        1208.32743225           -0.00121785         1208.32621440 
  9.8000e-014           40.51797689            0.00000000        1208.32743229           -0.00121793         1208.32621436 
  1.0000e-013           40.51797689            0.00000000        1208.32743234           -0.00121802         1208.32621431 
  1.0200e-013           40.51797689            0.00000000        1208.32743238           -0.00121811         1208.32621427 
  1.0400e-013           40.51797690            0.00000000        1208.32743243           -0.00121820         1208.32621422 
  1.0600e-013           40.51797690            0.00000000        1208.32743247           -0.00121829         1208.32621418 
  1.0800e-013           40.51797690            0.00000000        1208.32743252           -0.00121839         1208.32621413 
  1.1000e-013           40.51797690            0.00000000        1208.32743257           -0.00121849         1208.32621408 
  1.1200e-013           40.51797690            0.00000000        1208.32743262           -0.00121858         1208.32621403 
  1.1400e-013           40.51797690            0.00000000        1208.32743267           -0.00121868         1208.32621398 
  1.1600e-013           40.51797691            0.00000000        1208.32743272           -0.00121878         1208.32621393 
  1.1800e-013           40.51797691            0.00000000        1208.32743277           -0.00121889         1208.32621388 
  1.2000e-013           40.51797691            0.00000000        1208.32743282           -0.00121899         1208.32621383 
  1.2200e-013           40.51797691            0.00000000        1208.32743287           -0.00121910         1208.32621378 
  1.2400e-013           40.51797691            0.00000000        1208.32743293           -0.00121920         1208.32621372 
  1.2600e-013           40.51797691            0.00000000        1208.32743298           -0.00121931         1208.32621367 
  1.2800e-013           40.51797692            0.00000000        1208.32743304           -0.00121943         1208.32621361 
  1.3000e-013           40.51797692            0.00000000        1208.32743309           -0.00121954         1208.32621356 
  1.3200e-013           40.51797692            0.00000000        1208.32743315           -0.00121965         1208.32621350 
  1.3400e-013           40.51797692            0.00000000        1208.32743321           -0.00121977         1208.32621344 
  1.3600e-013           40.51797692            0.00000000        1208.32743327           -0.00121989         1208.32621338 
  1.3800e-013           40.51797693            0.00000000        1208.32743333           -0.00122000         1208.32621332 
  1.4000e-013           40.51797693            0.00000000        1208.32743339           -0.00122013         1208.32621326 
  1.4200e-013           40.51797693            0.00000000        1208.32743345           -0.00122025         1208.32621320 
  1.4400e-013           40.51797693            0.00000000        1208.32743351           -0.00122037         1208.32621314 
  1.4600e-013           40.51797693            0.00000000        1208.32743357           -0.00122050         1208.32621308 
  1.4800e-013           40.51797694            0.00000000        1208.32743364           -0.00122063         1208.32621301 
  1.5000e-013           40.51797694            0.00000000        1208.32743370           -0.00122076         1208.32621295 
  1.5200e-013           40.51797694            0.00000000        1208.32743377           -0.00122089         1208.32621288 
  1.5400e-013           40.51797694            0.00000000        1208.32743384           -0.00122102         1208.32621282 
  1.5600e-013           40.51797695            0.00000000        1208.32743390           -0.00122115         1208.32621275 
  1.5800e-013           40.51797695            0.00000000        1208.32743397           -0.00122129         1208.32621268 
  1.6000e-013           40.51797695            0.00000000        1208.32743404           -0.00122143         1208.32621261 
  1.6200e-013           40.51797695            0.00000000        1208.32743411           -0.00122157         1208.32621254 
  1.6400e-013           40.51797695            0.00000000        1208.32743418           -0.00122171         1208.32621247 
  1.6600e-013           40.51797696            0.00000000        1208.32743425           -0.00122185         1208.32621240 
  1.6800e-013           40.51797696            0.00000000        1208.32743432           -0.00122199         1208.32621233 
  1.7000e-013           40.51797696            0.00000000        1208.32743440           -0.00122214         1208.32621225 
  1.7200e-013           40.51797696            0.00000000        1208.32743447           -0.00122229         1208.32621218 
  1.7400e-013           40.51797697            0.00000000        1208.32743454           -0.00122244         1208.32621211 
  1.7600e-013           40.51797697            0.00000000        1208.32743462           -0.00122259         1208.32621203 
  1.7800e-013           40.51797697            0.00000000        1208.32743470           -0.00122274         1208.32621195 
  1.8000e-013           40.51797697            0.00000000        1208.32743477           -0.00122290         1208.32621188 
  1.8200e-013           40.51797698            0.00000000        1208.32743485           -0.00122305         1208.32621180 
  1.8400e-013           40.51797698            0.00000000        1208.32743493           -0.00122321         1208.32621172 
  1.8600e-013           40.51797698            0.00000000        1208.32743501           -0.00122337         1208.32621164 
  1.8800e-013           40.51797699            0.00000000        1208.32743509           -0.00122353         1208.32621156 
  1.9000e-013           40.51797699            0.00000000        1208.32743517           -0.00122370         1208.32621148 
  1.9200e-013           40.51797699            0.00000000        1208.32743526           -0.00122386         1208.32621140 
  1.9400e-013           40.51797699            0.00000000        1208.32743534           -0.00122403         1208.32621131 
  1.9600e-013           40.51797700            0.00000000        1208.32743542           -0.00122419         1208.32621123 
  1.9800e-013           40.51797700            0.00000000        1208.32743551           -0.00122436         1208.32621114 
  2.0000e-013           40.51797700            0.00000000        1208.32743559           -0.00122454         1208.32621106 
  2.0200e-013           40.51797700            0.00000000        1208.32743568           -0.00122471         1208.32621097 
  2.0400e-013           40.51797701            0.00000000        1208.32743577           -0.00122488         1208.32621088 
  2.0600e-013           40.51797701            0.00000000        1208.32743586           -0.00122506         1208.32621079 
  2.0800e-013           40.51797701            0.00000000        1208.32743595           -0.00122524         1208.32621071 
  2.1000e-013           40.51797702            0.00000000        1208.32743604           -0.00122542         1208.32621062 
  2.1200e-013           40.51797702            0.00000000        1208.32743613           -0.00122560         1208.32621052 
  2.1400e-013           40.51797702            0.00000000        1208.32743622           -0.00122579         1208.32621043 
  2.1600e-013           40.51797703            0.00000000        1208.32743631           -0.00122597         1208.32621034 
  2.1800e-013           40.51797703            0.00000000        1208.32743640           -0.00122616         1208.32621025 
  2.2000e-013           40.51797703            0.00000000        1208.32743650           -0.00122635         1208.32621015 
  2.2200e-013           40.51797704            0.00000000        1208.32743659           -0.00122654         1208.32621006 
  2.2400e-013           40.51797704            0.00000000        1208.32743669           -0.00122673         1208.32620996 
  2.2600e-013           40.51797704            0.00000000        1208.32743679           -0.00122692         1208.32620986 
  2.2800e-013           40.51797705            0.00000000        1208.32743689           -0.00122712         1208.32620976 
  2.3000e-013           40.51797705            0.00000000        1208.32743698           -0.00122732         1208.32620967 
  2.3200e-013           40.51797705            0.00000000        1208.32743708           -0.00122752         1208.32620957 
  2.3400e-013           40.51797706            0.00000000        1208.32743718           -0.00122772         1208.32620947 
  2.3600e-013           40.51797706            0.00000000        1208.32743729           -0.00122792         1208.32620936 
  2.3800e-013           40.51797706            0.00000000        1208.32743739           -0.00122813         1208.32620926 
  2.4000e-013           40.51797707            0.00000000        1208.32743749           -0.00122833         1208.32620916 
  2.4200e-013           40.51797707            0.00000000        1208.32743760           -0.00122854         1208.32620905 
  2.4400e-013           40.51797707            0.00000000        1208.32743770           -0.00122875         1208.32620895 
  2.4600e-013           40.51797708            0.00000000        1208.32743781           -0.00122896         1208.32620884 
  2.4800e-013           40.51797708            0.00000000        1208.32743791           -0.00122918         1208.32620874 
  2.5000e-013           40.51797708            0.00000000        1208.32743802           -0.00122939         1208.32620863 
  2.5200e-013           40.51797709            0.00000000        1208.32743813           -0.00122961         1208.32620852 
  2.5400e-013           40.51797709            0.00000000        1208.32743824           -0.00122983         1208.32620841 
  2.5600e-013           40.51797709            0.00000000        1208.32743835           -0.00123005         1208.32620830 
  2.5800e-013           40.51797710            0.00000000        1208.32743846           -0.00123027         1208.32620819 
  2.6000e-013           40.51797710            0.00000000        1208.32743857           -0.00123050         1208.32620808 
  2.6200e-013           40.51797711            0.00000000        1208.32743869           -0.00123072         1208.32620796 
  2.6400e-013           40.51797711            0.00000000        1208.32743880           -0.00123095         1208.32620785 
  2.6600e-013           40.51797711            0.00000000        1208.32743891           -0.00123118         1208.32620774 
  2.6800e-013           40.51797712            0.00000000        1208.32743903           -0.00123141         1208.32620762 
  2.7000e-013           40.51797712            0.00000000        1208.32743915           -0.00123164         1208.32620750 
  2.7200e-013           40.51797713            0.00000000        1208.32743926           -0.00123188         1208.32620739 
  2.7400e-013           40.51797713            0.00000000        1208.32743938           -0.00123211         1208.32620727 
  2.7600e-013           40.51797713            0.00000000        1208.32743950           -0.00123235         1208.32620715 
  2.7800e-013           40.51797714            0.00000000        1208.32743962           -0.00123259         1208.32620703 
  2.8000e-013           40.51797714            0.00000000        1208.32743974           -0.00123284         1208.32620691 
  2.8200e-013           40.51797715            0.00000000        1208.32743987           -0.00123308         1208.32620679 
  2.8400e-013           40.51797715            0.00000000        1208.32743999           -0.00123333         1208.32620666 
  2.8600e-013           40.51797715            0.00000000        1208.32744011           -0.00123357         1208.32620654 
  2.8800e-013           40.51797716            0.00000000        1208.32744024           -0.00123382         1208.32620641 
  2.9000e-013           40.51797716            0.00000000        1208.32744036           -0.00123407         1208.32620629 
  2.9200e-013           40.51797717            0.00000000        1208.32744049           -0.00123433         1208.32620616 
  2.9400e-013           40.51797717            0.00000000        1208.32744062           -0.00123458         1208.32620603 
  2.9600e-013           40.51797717            0.00000000        1208.32744075           -0.00123484         1208.32620591 
  2.9800e-013           40.51797718            0.00000000        1208.32744087           -0.00123510         1208.32620578 
  3.0000e-013           40.51797718            0.00000000        1208.32744100           -0.00123536         1208.32620565 
  3.0200e-013           40.51797719            0.00000000        1208.32744114           -0.00123562         1208.32620551 
  3.0400e-013           40.51797719            0.00000000        1208.32744127           -0.00123589         1208.32620538 
  3.0600e-013           40.51797720            0.00000000        1208.32744140           -0.00123615         1208.32620525 
  3.0800e-013           40.51797720            0.00000000        1208.32744154           -0.00123642         1208.32620512 
  3.1000e-013           40.51797721            0.00000000        1208.32744167           -0.00123669         1208.32620498 
  3.1200e-013           40.51797721            0.00000000        1208.32744181           -0.00123696         1208.32620484 
  3.1400e-013           40.51797721            0.00000000        1208.32744194           -0.00123724         1208.32620471 
  3.1600e-013           40.51797722            0.00000000        1208.32744208           -0.00123751         1208.32620457 
  3.1800e-013           40.51797722            0.00000000        1208.32744222           -0.00123779         1208.32620443 
  3.2000e-013           40.51797723            0.00000000        1208.32744236           -0.00123807         1208.32620429 
  3.2200e-013           40.51797723            0.00000000        1208.32744250           -0.00123835         1208.32620415 
  3.2400e-013           40.51797724            0.00000000        1208.32744264           -0.00123863         1208.32620401 
  3.2600e-013           40.51797724            0.00000000        1208.32744278           -0.00123892         1208.32620387 
  3.2800e-013           40.51797725            0.00000000        1208.32744293           -0.00123920         1208.32620372 
  3.3000e-013           40.51797725            0.00000000        1208.32744307           -0.00123949         1208.32620358 
  3.3200e-013           40.51797726            0.00000000        1208.32744322           -0.00123978         1208.32620343 
  3.3400e-013           40.51797726            0.00000000        1208.32744336           -0.00124008         1208.32620329 
  3.3600e-013           40.51797727            0.00000000        1208.32744351           -0.00124037         1208.32620314 
  3.3800e-013           40.51797727            0.00000000        1208.32744366           -0.00124067         1208.32620299 
  3.4000e-013           40.51797728            0.00000000        1208.32744381           -0.00124096         1208.32620284 
  3.4200e-013           40.51797728            0.00000000        1208.32744396           -0.00124126         1208.32620269 
  3.4400e-013           40.51797729            0.00000000        1208.32744411           -0.00124157         1208.32620254 
  3.4600e-013           40.51797729            0.00000000        1208.32744426           -0.00124187         1208.32620239 
  3.4800e-013           40.51797730            0.00000000        1208.32744441           -0.00124218         1208.32620224 
  3.5000e-013           40.51797730            0.00000000        1208.32744457           -0.00124248         1208.32620208 
  3.5200e-013           40.51797731            0.00000000        1208.32744472           -0.00124279         1208.32620193 
  3.5400e-013           40.51797731            0.00000000        1208.32744488           -0.00124311         1208.32620177 
  3.5600e-013           40.51797732            0.00000000        1208.32744504           -0.00124342         1208.32620162 
  3.5800e-013           40.51797732            0.00000000        1208.32744519           -0.00124374         1208.32620146 
  3.6000e-013           40.51797733            0.00000000        1208.32744535           -0.00124405         1208.32620130 
  3.6200e-013           40.51797733            0.00000000        1208.32744551           -0.00124437         1208.32620114 
  3.6400e-013           40.51797734            0.00000000        1208.32744567           -0.00124469         1208.32620098 
  3.6600e-013           40.51797735            0.00000000        1208.32744583           -0.00124502         1208.32620082 
  3.6800e-013           40.51797735            0.00000000        1208.32744600           -0.00124534         1208.32620065 
  3.7000e-013           40.51797736            0.00000000        1208.32744616           -0.00124567         1208.32620049 
  3.7200e-013           40.51797736            0.00000000        1208.32744633           -0.00124600         1208.32620033 
  3.7400e-013           40.51797737            0.00000000        1208.32744649           -0.00124633         1208.32620016 
  3.7600e-013           40.51797737            0.00000000        1208.32744666           -0.00124666         1208.32619999 
  3.7800e-013           40.51797738            0.00000000        1208.32744683           -0.00124700         1208.32619983 
  3.8000e-013           40.51797738            0.00000000        1208.32744699           -0.00124734         1208.32619966 
  3.8200e-013           40.51797739            0.00000000        1208.32744716           -0.00124768         1208.32619949 
  3.8400e-013           40.51797740            0.00000000        1208.32744733           -0.00124802         1208.32619932 
  3.8600e-013           40.51797740            0.00000000        1208.32744751           -0.00124836         1208.32619914 
  3.8800e-013           40.51797741            0.00000000        1208.32744768           -0.00124871         1208.32619897 
  3.9000e-013           40.51797741            0.00000000        1208.32744785           -0.00124905         1208.32619880 
  3.9200e-013           40.51797742            0.00000000        1208.32744803           -0.00124940         1208.32619862 
  3.9400e-013           40.51797742            0.00000000        1208.32744820           -0.00124976         1208.32619845 
  3.9600e-013           40.51797743            0.00000000        1208.32744838           -0.00125011         1208.32619827 
  3.9800e-013           40.51797744            0.00000000        1208.32744856           -0.00125046         1208.32619809 
  4.0000e-013           40.51797744            0.00000000        1208.32744874           -0.00125082         1208.32619791 
  4.0200e-013           40.51797745            0.00000000        1208.32744892           -0.00125118         1208.32619773 
  4.0400e-013           40.51797745            0.00000000        1208.32744910           -0.00125154         1208.32619755 
  4.0600e-013           40.51797746            0.00000000        1208.32744928           -0.00125191         1208.32619737 
  4.0800e-013           40.51797747            0.00000000        1208.32744946           -0.00125227         1208.32619719 
  4.1000e-013           40.51797747            0.00000000        1208.32744965           -0.00125264         1208.32619700 
  4.1200e-013           40.51797748            0.00000000        1208.32744983           -0.00125301         1208.32619682 
  4.1400e-013           40.51797749            0.00000000        1208.32745002           -0.00125338         1208.32619663 
  4.1600e-013           40.51797749            0.00000000        1208.32745020           -0.00125376         1208.32619645 
  4.1800e-013           40.51797750            0.00000000        1208.32745039           -0.00125413         1208.32619626 
  4.2000e-013           40.51797750            0.00000000        1208.32745058           -0.00125451         1208.32619607 
  4.2200e-013           40.51797751            0.00000000        1208.32745077           -0.00125489         1208.32619588 
  4.2400e-013           40.51797752            0.00000000        1208.32745096           -0.00125528         1208.32619569 
  4.2600e-013           40.51797752            0.00000000        1208.32745116           -0.00125566         1208.32619550 
  4.2800e-013           40.51797753            0.00000000        1208.32745135           -0.00125605         1208.32619530 
  4.3000e-013           40.51797754            0.00000000        1208.32745154           -0.00125644         1208.32619511 
  4.3200e-013           40.51797754            0.00000000        1208.32745174           -0.00125683         1208.32619491 
  4.3400e-013           40.51797755            0.00000000        1208.32745194           -0.00125722         1208.32619472 
  4.3600e-013           40.51797756            0.00000000        1208.32745213           -0.00125761         1208.32619452 
  4.3800e-013           40.51797756            0.00000000        1208.32745233           -0.00125801         1208.32619432 
  4.4000e-013           40.51797757            0.00000000        1208.32745253           -0.00125841         1208.32619412 
  4.4200e-013           40.51797758            0.00000000        1208.32745273           -0.00125881         1208.32619392 
  4.4400e-013           40.51797758            0.00000000        1208.32745293           -0.00125922         1208.32619372 
  4.4600e-013           40.51797759            0.00000000        1208.32745314           -0.00125962         1208.32619351 
  4.4800e-013           40.51797760            0.00000000        1208.32745334           -0.00126003         1208.32619331 
  4.5000e-013           40.51797760            0.00000000        1208.32745355           -0.00126044         1208.32619310 
  4.5200e-013           40.51797761            0.00000000        1208.32745375           -0.00126085         1208.32619290 
  4.5400e-013           40.51797762            0.00000000        1208.32745396           -0.00126127         1208.32619269 
  4.5600e-013           40.51797762            0.00000000        1208.32745417           -0.00126169         1208.32619248 
  4.5800e-013           40.51797763            0.00000000        1208.32745438           -0.00126210         1208.32619227 
  4.6000e-013           40.51797764            0.00000000        1208.32745459           -0.00126253         1208.32619206 
  4.6200e-013           40.51797765            0.00000000        1208.32745480           -0.00126295         1208.32619185 
  4.6400e-013           40.51797765            0.00000000        1208.32745501           -0.00126338         1208.32619164 
  4.6600e-013           40.51797766            0.00000000        1208.32745523           -0.00126380         1208.32619142 
  4.6800e-013           40.51797767            0.00000000        1208.32745544           -0.00126423         1208.32619121 
  4.7000e-013           40.51797767            0.00000000        1208.32745566           -0.00126467         1208.32619099 
  4.7200e-013           40.51797768            0.00000000        1208.32745588           -0.00126510         1208.32619078 
  4.7400e-013           40.51797769            0.00000000        1208.32745609           -0.00126554         1208.32619056 
  4.7600e-013           40.51797770            0.00000000        1208.32745631           -0.00126598         1208.32619034 
  4.7800e-013           40.51797770            0.00000000        1208.32745653           -0.00126642         1208.32619012 
  4.8000e-013           40.51797771            0.00000000        1208.32745676           -0.00126686         1208.32618989 
  4.8200e-013           40.51797772            0.00000000        1208.32745698           -0.00126731         1208.32618967 
  4.8400e-013           40.51797773            0.00000000        1208.32745720           -0.00126775         1208.32618945 
  4.8600e-013           40.51797773            0.00000000        1208.32745743           -0.00126821         1208.32618922 
  4.8800e-013           40.51797774            0.00000000        1208.32745765           -0.00126866         1208.32618900 
  4.9000e-013           40.51797775            0.00000000        1208.32745788           -0.00126911         1208.32618877 
  4.9200e-013           40.51797776            0.00000000        1208.32745811           -0.00126957         1208.32618854 
  4.9400e-013           40.51797776            0.00000000        1208.32745834           -0.00127003         1208.32618831 
  4.9600e-013           40.51797777            0.00000000        1208.32745857           -0.00127049         1208.32618808 
  4.9800e-013           40.51797778            0.00000000        1208.32745880           -0.00127096         1208.32618785 
  5.0000e-013           40.51797779            0.00000000        1208.32745904           -0.00127142         1208.32618761 
  5.0200e-013           40.51797780            0.00000000        1208.32745927           -0.00127189         1208.32618738 
  5.0400e-013           40.51797780            0.00000000        1208.32745951           -0.00127236         1208.32618714 
  5.0600e-013           40.51797781            0.00000000        1208.32745974           -0.00127284         1208.32618691 
  5.0800e-013           40.51797782            0.00000000        1208.32745998           -0.00127331         1208.32618667 
  5.1000e-013           40.51797783            0.00000000        1208.32746022           -0.00127379         1208.32618643 
  5.1200e-013           40.51797784            0.00000000        1208.32746046           -0.00127427         1208.32618619 
  5.1400e-013           40.51797784            0.00000000        1208.32746070           -0.00127475         1208.32618595 
  5.1600e-013           40.51797785            0.00000000        1208.32746095           -0.00127524         1208.32618571 
  5.1800e-013           40.51797786            0.00000000        1208.32746119           -0.00127573         1208.32618546 
  5.2000e-013           40.51797787            0.00000000        1208.32746143           -0.00127622         1208.32618522 
  5.2200e-013           40.51797788            0.00000000        1208.32746168           -0.00127671         1208.32618497 
  5.2400e-013           40.51797789            0.00000000        1208.32746193           -0.00127720         1208.32618472 
  5.2600e-013           40.51797789            0.00000000        1208.32746218           -0.00127770         1208.32618447 
  5.2800e-013           40.51797790            0.00000000        1208.32746243           -0.00127820         1208.32618422 
  5.3000e-013           40.51797791            0.00000000        1208.32746268           -0.00127870         1208.32618397 
  5.3200e-013           40.51797792            0.00000000        1208.32746293           -0.00127921         1208.32618372 
  5.3400e-013           40.51797793            0.00000000        1208.32746318           -0.00127972         1208.32618347 
  5.3600e-013           40.51797794            0.00000000        1208.32746344           -0.00128023         1208.32618321 
  5.3800e-013           40.51797794            0.00000000        1208.32746369           -0.00128074         1208.32618296 
  5.4000e-013           40.51797795            0.00000000        1208.32746395           -0.00128125         1208.32618270 
  5.4200e-013           40.51797796            0.00000000        1208.32746421           -0.00128177         1208.32618244 
  5.4400e-013           40.51797797            0.00000000        1208.32746447           -0.00128229         1208.32618218 
  5.4600e-013           40.51797798            0.00000000        1208.32746473           -0.00128281         1208.32618192 
  5.4800e-013           40.51797799            0.00000000        1208.32746499           -0.00128334         1208.32618166 
  5.5000e-013           40.51797800            0.00000000        1208.32746526           -0.00128386         1208.32618139 
  5.5200e-013           40.51797801            0.00000000        1208.32746552           -0.00128439         1208.32618113 
  5.5400e-013           40.51797801            0.00000000        1208.32746579           -0.00128492         1208.32618086 
  5.5600e-013           40.51797802            0.00000000        1208.32746605           -0.00128546         1208.32618060 
  5.5800e-013           40.51797803            0.00000000        1208.32746632           -0.00128600         1208.32618033 
  5.6000e-013           40.51797804            0.00000000        1208.32746659           -0.00128654         1208.32618006 
  5.6200e-013           40.51797805            0.00000000        1208.32746686           -0.00128708         1208.32617979 
  5.6400e-013           40.51797806            0.00000000        1208.32746714           -0.00128762         1208.32617951 
  5.6600e-013           40.51797807            0.00000000        1208.32746741           -0.00128817         1208.32617924 
  5.6800e-013           40.51797808            0.00000000        1208.32746769           -0.00128872         1208.32617897 
  5.7000e-013           40.51797809            0.00000000        1208.32746796           -0.00128927         1208.32617869 
  5.7200e-013           40.51797810            0.00000000        1208.32746824           -0.00128983         1208.32617841 
  5.7400e-013           40.51797811            0.00000000        1208.32746852           -0.00129039         1208.32617813 
  5.7600e-013           40.51797812            0.00000000        1208.32746880           -0.00129095         1208.32617785 
  5.7800e-013           40.51797812            0.00000000        1208.32746908           -0.00129151         1208.32617757 
  5.8000e-013           40.51797813            0.00000000        1208.32746936           -0.00129207         1208.32617729 
  5.8200e-013           40.51797814            0.00000000        1208.32746965           -0.00129264         1208.32617700 
  5.8400e-013           40.51797815            0.00000000        1208.32746993           -0.00129321         1208.32617672 
  5.8600e-013           40.51797816            0.00000000        1208.32747022           -0.00129379         1208.32617643 
  5.8800e-013           40.51797817            0.00000000        1208.32747051           -0.00129436         1208.32617614 
  5.9000e-013           40.51797818            0.00000000        1208.32747080           -0.00129494         1208.32617585 
  5.9200e-013           40.51797819            0.00000000        1208.32747109           -0.00129552         1208.32617556 
  5.9400e-013           40.51797820            0.00000000        1208.32747138           -0.00129611         1208.32617527 
  5.9600e-013           40.51797821            0.00000000        1208.32747167           -0.00129670         1208.32617498 
  5.9800e-013           40.51797822            0.00000000        1208.32747197           -0.00129729         1208.32617468 
  6.0000e-013           40.51797823            0.00000000        1208.32747226           -0.00129788         1208.32617439 
  6.0200e-013           40.51797824            0.00000000        1208.32747256           -0.00129847         1208.32617409 
  6.0400e-013           40.51797825            0.00000000        1208.32747286           -0.00129907         1208.32617379 
  6.0600e-013           40.51797826            0.00000000        1208.32747316           -0.00129967         1208.32617349 
  6.0800e-013           40.51797827            0.00000000        1208.32747346           -0.00130028         1208.32617319 
  6.1000e-013           40.51797828            0.00000000        1208.32747377           -0.00130088         1208.32617288 
  6.1200e-013           40.51797829            0.00000000        1208.32747407           -0.00130149         1208.32617258 
  6.1400e-013           40.51797830            0.00000000        1208.32747438           -0.00130210         1208.32617227 
  6.1600e-013           40.51797831            0.00000000        1208.32747468           -0.00130272         1208.32617197 
  6.1800e-013           40.51797832            0.00000000        1208.32747499           -0.00130334         1208.32617166 
  6.2000e-013           40.51797833            0.00000000        1208.32747530           -0.00130396         1208.32617135 
  6.2200e-013           40.51797834            0.00000000        1208.32747562           -0.00130458         1208.32617104 
  6.2400e-013           40.51797835            0.00000000        1208.32747593           -0.00130521         1208.32617072 
  6.2600e-013           40.51797837            0.00000000        1208.32747624           -0.00130583         1208.32617041 
  6.2800e-013           40.51797838            0.00000000        1208.32747656           -0.00130647         1208.32617009 
  6.3000e-013           40.51797839            0.00000000        1208.32747688           -0.00130710         1208.32616977 
  6.3200e-013           40.51797840            0.00000000        1208.32747719           -0.00130774         1208.32616946 
