timestamp,cpu_time,time (s),T(t) (K),P(t) (Pa),Kinetic En. (n.u.),Potential En. (n.u.),Total En. (n.u.)
1651232164, 7117.0000, 1.8600e-13, 1491.71232453, 87162156.96356347, 0.00000000, 56.27148894, 56.27148894 
1651232165, 6825.0000, 5.3400e-13, 1492.49190137, 122554276.67489465, 0.00000000, 458.83026667, 458.83026667 
1651232166, 6556.0000, 8.7600e-13, 1493.46090480, 0.00000000, 0.00000000, 88220.63692460, 88220.63692460 
1651232167, 6720.0000, 1.2240e-12, 1492.58230691, 0.00000000, 0.00000000, 400.70817275, 400.70817275 
1651232168, 7192.0000, 1.5660e-12, 1494.22258655, 51908102.83363189, 0.00000000, 1878.00173215, 1878.00173215 
1651232169, 6864.0000, 1.9100e-12, 1489.32652181, 74985937.09355299, 0.00000000, 461.29573736, 461.29573736 
1651232170, 6659.0000, 2.2460e-12, 1484.38420164, 0.00000000, 0.00000000, 1006.56921647, 1006.56921647 
1651232171, 6462.0000, 2.5740e-12, 1492.47223059, 0.00000000, 0.00000000, 2643.57703398, 2643.57703398 
1651232172, 6828.0000, 2.9180e-12, 1496.51859309, 0.00000000, 0.00000000, 492.42082897, 492.42082897 
1651232173, 7031.0000, 3.2600e-12, 1497.72033953, 88706424.36765221, 0.00000000, 162.34150326, 162.34150326 
1651232174, 6885.0000, 3.5600e-12, 1496.92244514, 0.00000000, 0.00000000, 238.50993355, 238.50993355 
1651232175, 7120.0000, 3.8600e-12, 1483.93822548, 0.00000000, 0.00000000, 3124.60366071, 3124.60366071 
1651232176, 6769.0000, 4.1880e-12, 1497.35938280, 185981456.96637991, 0.00000000, 4624.85658224, 4624.85658224 
1651232177, 6052.0000, 4.5260e-12, 1496.02390470, 67318521.38133176, 0.00000000, 20331.03492232, 20331.03492232 
1651232178, 6597.0000, 4.8580e-12, 1491.95413309, 0.00000000, 0.00000000, 5792.26110386, 5792.26110386 
1651232179, 6461.0000, 5.2060e-12, 1495.96392510, 0.00000000, 0.00000000, 1939335967965087.50000000, 1939335967965087.50000000 
1651232180, 8484.0000, 5.4820e-12, 1496.84513847, 21735198.31448491, 0.00000000, 5287.46740057, 5287.46740057 
1651232181, 7246.0000, 5.7860e-12, 1498.59475406, 0.00000000, 0.00000000, 3563553.78126865, 3563553.78126865 
1651232182, 6388.0000, 6.1200e-12, 1495.13670512, 0.00000000, 0.00000000, 15594.16250605, 15594.16250605 
1651232183, 7377.0000, 6.4540e-12, 1499.07283439, 91341319.05659175, 0.00000000, 3183.16540888, 3183.16540888 
1651232184, 7050.0000, 6.7740e-12, 1497.62222918, 0.00000000, 0.00000000, 451645.68194218, 451645.68194218 
1651232185, 6780.0000, 7.0920e-12, 1498.28310092, 0.00000000, 0.00000000, 14999.49872777, 14999.49872777 
1651232186, 6477.0000, 7.4280e-12, 1500.47535156, 0.00000000, 0.00000000, -25.32560237, -25.32560237 
1651232187, 6762.0000, 7.7580e-12, 1498.97889475, 0.00000000, 0.00000000, 24.57244363, 24.57244363 
1651232188, 7298.0000, 8.0900e-12, 1492.16323034, 0.00000000, 0.00000000, 30829.78545104, 30829.78545104 
1651232189, 6341.0000, 8.4140e-12, 1494.12085562, 0.00000000, 0.00000000, 670715.07311871, 670715.07311871 
1651232190, 8178.0000, 8.7120e-12, 1491.79752429, 12926417.74738002, 0.00000000, 456.21816873, 456.21816873 
1651232191, 8288.0000, 8.9540e-12, 1496.31809957, 0.00000000, 0.00000000, 29888.70055831, 29888.70055831 
1651232192, 8031.0000, 9.2160e-12, 1487.23986442, 0.00000000, 0.00000000, 846.86896528, 846.86896528 
1651232193, 6886.0000, 9.5060e-12, 1496.43633146, 0.00000000, 0.00000000, 4601.33379037, 4601.33379037 
1651232194, 7798.0000, 9.8160e-12, 1497.20338564, 0.00000000, 0.00000000, 627.60990401, 627.60990401 
1651232195, 6511.0000, 1.0128e-11, 1497.55398370, 0.00000000, 0.00000000, 190.18906673, 190.18906673 
1651232196, 6428.0000, 1.0404e-11, 1499.84453929, 0.00000000, 0.00000000, 3198.08672123, 3198.08672123 
1651232197, 7715.0000, 1.0724e-11, 1499.55239350, 0.00000000, 0.00000000, 3349.26552093, 3349.26552093 
1651232198, 9452.0000, 1.0936e-11, 1496.34335736, 80714935.18828920, 0.00000000, 276.01685757, 276.01685757 
1651232199, 10021.0000, 1.1204e-11, 1491.86164074, 0.00000000, 0.00000000, 13440475118.90213203, 13440475118.90213203 
1651232200, 10597.0000, 1.1462e-11, 1501.39974621, 0.00000000, 0.00000000, 5516.44977876, 5516.44977876 
1651232201, 6684.0000, 1.1784e-11, 1500.43675715, 0.00000000, 0.00000000, 1675181.31178209, 1675181.31178209 
1651232202, 6497.0000, 1.2096e-11, 1497.57131468, 205667129.92637926, 0.00000000, 438648.87158416, 438648.87158416 
1651232203, 6980.0000, 1.2428e-11, 1500.30055262, 0.00000000, 0.00000000, 130.93134818, 130.93134818 
1651232204, 6604.0000, 1.2772e-11, 1497.32539606, 0.00000000, 0.00000000, 637.68031860, 637.68031860 
1651232205, 7044.0000, 1.3100e-11, 1501.81293875, 0.00000000, 0.00000000, 1.96993303, 1.96993303 
1651232206, 6528.0000, 1.3430e-11, 1497.12669549, 103764468.97021200, 0.00000000, 7319.36889140, 7319.36889140 
1651232207, 7038.0000, 1.3770e-11, 1499.87804704, 0.00000000, 0.00000000, 140.38928337, 140.38928337 
1651232208, 9154.0000, 1.4074e-11, 1477.47337172, 0.00000000, 0.00000000, 3949.55860388, 3949.55860388 
1651232209, 7274.0000, 1.4412e-11, 1498.28458068, 225633557.65551150, 0.00000000, 2246.84479387, 2246.84479387 
1651232210, 6955.0000, 1.4744e-11, 1499.67965111, 42482474.41858920, 0.00000000, -14.13240555, -14.13240555 
1651232211, 10021.0000, 1.5076e-11, 1497.87398363, 23251324.98511426, 0.00000000, 404877.62908458, 404877.62908458 
1651232212, 6630.0000, 1.5412e-11, 1497.26691856, 0.00000000, 0.00000000, 191.13723391, 191.13723391 
1651232213, 6391.0000, 1.5752e-11, 1500.49887101, 62749676.50229389, 0.00000000, -1.59330125, -1.59330125 
1651232214, 7045.0000, 1.6090e-11, 1496.65285590, 215690842.11141407, 0.00000000, 4082.61573302, 4082.61573302 
1651232215, 6877.0000, 1.6422e-11, 1493.63918734, 0.00000000, 0.00000000, 459.25947078, 459.25947078 
1651232216, 6502.0000, 1.6746e-11, 1498.28989429, 0.00000000, 0.00000000, 236.63159155, 236.63159155 
1651232217, 7650.0000, 1.7078e-11, 1502.10956504, 23348517.73025437, 0.00000000, 43842.03577923, 43842.03577923 
1651232218, 6917.0000, 1.7414e-11, 1497.50117367, 0.00000000, 0.00000000, 369.25439586, 369.25439586 
1651232219, 7463.0000, 1.7746e-11, 1499.54988568, 0.00000000, 0.00000000, 96704310.33292094, 96704310.33292094 
1651232220, 6735.0000, 1.8068e-11, 1500.22924542, 0.00000000, 0.00000000, 88.72055870, 88.72055870 
1651232221, 7743.0000, 1.8404e-11, 1496.28104065, 55115270.73899241, 0.00000000, 2753.21275958, 2753.21275958 
1651232222, 8041.0000, 1.8736e-11, 1500.18318484, 0.00000000, 0.00000000, -27.62832454, -27.62832454 
1651232223, 8128.0000, 1.9028e-11, 1498.49030844, 86357740.88273926, 0.00000000, 145.14908794, 145.14908794 
1651232224, 7346.0000, 1.9362e-11, 1499.77153308, 137064946.79920706, 0.00000000, 71115.30933245, 71115.30933245 
1651232225, 10064.0000, 1.9698e-11, 1500.11764304, 0.00000000, 0.00000000, 7286.84467534, 7286.84467534 
1651232226, 6797.0000, 2.0028e-11, 1489.35805325, 0.00000000, 0.00000000, 513.55372258, 513.55372258 
1651232227, 7210.0000, 2.0356e-11, 1497.10917422, 0.00000000, 0.00000000, 88.31417399, 88.31417399 
1651232228, 7000.0000, 2.0678e-11, 1498.08447010, 83794204.85722648, 0.00000000, 11020.57122035, 11020.57122035 
1651232229, 6884.0000, 2.1006e-11, 1491.17128526, 0.00000000, 0.00000000, 315.07213406, 315.07213406 
1651232230, 7263.0000, 2.1328e-11, 1492.96141815, 213369876.92619547, 0.00000000, 149.94433339, 149.94433339 
1651232231, 6692.0000, 2.1662e-11, 1496.39910905, 109413064.72158642, 0.00000000, 2765.04465530, 2765.04465530 
1651232232, 6406.0000, 2.1992e-11, 1484.30778768, 84778414.76034874, 0.00000000, 328909.68213762, 328909.68213762 
1651232233, 9876.0000, 2.2320e-11, 1496.09444536, 73318214.47887713, 0.00000000, 57.01319016, 57.01319016 
1651232234, 6898.0000, 2.2638e-11, 1496.07593829, 0.00000000, 0.00000000, 675149.13112980, 675149.13112980 
1651232235, 8371.0000, 2.2970e-11, 1497.93130499, 26437248.76945984, 0.00000000, -27.65783827, -27.65783827 
1651232236, 6376.0000, 2.3300e-11, 1497.79649316, 0.00000000, 0.00000000, 9770.89594469, 9770.89594469 
1651232237, 6277.0000, 2.3626e-11, 1497.13769577, 0.00000000, 0.00000000, 1070.44798674, 1070.44798674 
1651232238, 8944.0000, 2.3942e-11, 1496.44400543, 0.00000000, 0.00000000, 78.38942600, 78.38942600 
1651232239, 6433.0000, 2.4274e-11, 1493.97559449, 0.00000000, 0.00000000, 27827.33680889, 27827.33680889 
